"","EDN","ED_Name","Prov","Electors","Nbr_Poll","Val_Bal","Val_Pct","Rej_Bal","Pct_Rej","Tot_Bal","TO","Win_Cand","LPV","CPV","NDV","GRV","BQV","OTV","Maj","Cand_Nbr","Male","Female","Avg_Gender","Tot_Memb","like_vote","sat_harp","ecc_sat","fin_own","Lib","CPC","NDP","Har","Tru","Mul","Count","Avg_Memb","Pct_Fem","Win","Win_Party","CPC_Win","LIB_Win","NDP_Win","GRN_Win","BQP_Win","OTP_Win"
"41",24009,"Bécancour--Nicolet--Saurel","QC",78734,231,52205,98.2,958,1.8,53163,67.5,"Plamondon, Louis Bloc Québécois/Bloc Québécois",12666,5955,11531,1182,20871,0,8205,5,46,58,0.557692307692308,7,1.76237623762376,3.25490196078431,2.45,2.31067961165049,39.5463917525773,26.9278350515464,50.8453608247423,24.4545454545455,40.0505050505051,51.8469387755102,104,0.0673076923076923,0.557692307692308,20871,"BQP",0,0,0,0,1,0
"42",24010,"Bellechasse--Les Etchemins--Lévis","QC",92719,277,62598,98.7,824,1.3,63422,68.4,"Blaney, Steven Conservative/Conservateur",12961,31872,8516,2032,7217,0,18911,5,96,72,0.428571428571429,13,1.5679012345679,2.7375,2.22641509433962,2.11377245508982,45.5668789808917,47.3417721518987,51.3974358974359,43.7784810126582,42.6392405063291,54.1858974358974,168,0.0773809523809524,0.428571428571429,31872,"CPC",1,0,0,0,0,0
"43",24011,"Beloeil--Chambly","QC",91204,260,66438,98.6,950,1.4,67388,73.9,"Dubé, Matthew NDP-New Democratic Party/NPD-Nouveau Parti démocratique",19494,6173,20641,1498,18387,245,1147,6,52,61,0.539823008849557,4,1.4811320754717,2.98148148148148,2.48648648648649,2.21621621621622,44.6415094339623,33.8333333333333,55.7264150943396,29.6788990825688,45.0091743119266,54.037037037037,113,0.0353982300884956,0.539823008849557,20641,"NDP",0,0,1,0,0,0
"44",24012,"Berthier--Maskinongé","QC",82996,267,54406,98.5,844,1.5,55250,66.6,"Brosseau, Ruth Ellen NDP-New Democratic Party/NPD-Nouveau Parti démocratique",11032,5548,22942,847,14037,0,8905,5,62,65,0.511811023622047,10,1.68032786885246,3.14754098360656,2.4,2.328,41.6,32.9752066115703,64.1176470588235,28.650406504065,42.603305785124,63.6916666666667,127,0.078740157480315,0.511811023622047,22942,"NDP",0,0,1,0,0,0
"45",24013,"Thérèse-De Blainville","QC",79440,216,56248,98.2,1007,1.8,57255,72.1,"Ayoub, Ramez Liberal/Libéral",18281,7000,14022,1352,15238,355,3043,6,41,46,0.545454545454545,5,1.5875,3.07142857142857,2.37647058823529,2.1264367816092,46.3974358974359,33.0759493670886,55.0779220779221,30.4683544303797,50.3461538461538,60.5584415584416,88,0.0568181818181818,0.522727272727273,18281,"LIB",0,1,0,0,0,0
"46",24014,"Pierre-Boucher--Les Patriotes--Verchères","QC",78855,226,59390,98.7,800,1.3,60190,76.3,"Barsalou-Duval, Xavier Bloc Québécois/Bloc Québécois",16794,6079,14454,5056,17007,0,213,5,64,53,0.452991452991453,7,1.75675675675676,3.14285714285714,2.57142857142857,2.1551724137931,46.8839285714286,31.7207207207207,60.0545454545455,28.1284403669725,46.6422018348624,61.1759259259259,117,0.0598290598290598,0.452991452991453,17007,"BQP",0,0,0,0,1,0
"47",24015,"Bourassa","QC",71070,184,41129,98,859,2,41988,59.1,"Dubourg, Emmanuel Liberal/Libéral",22234,3819,6144,886,7049,997,15185,8,31,55,0.63953488372093,6,1.46666666666667,3.06329113924051,2.56410256410256,2.25581395348837,59.0526315789474,35.8289473684211,57.8243243243243,33.1298701298701,58.8311688311688,57.7051282051282,86,0.0697674418604651,0.63953488372093,22234,"LIB",0,1,0,0,0,0
"48",24016,"Brome--Missisquoi","QC",85118,255,58675,98.8,716,1.2,59391,69.8,"Paradis, Denis Liberal/Libéral",25744,6724,14383,1377,10252,195,11361,6,72,89,0.552795031055901,14,1.68055555555556,3.19480519480519,2.49019607843137,2.35220125786164,51.7385620915033,32.6776315789474,57.6381578947368,27.1241830065359,49.9868421052632,59.2781456953642,161,0.0869565217391304,0.552795031055901,25744,"LIB",0,1,0,0,0,0
"49",24017,"Brossard--Saint-Lambert","QC",83766,215,57260,99.1,549,0.9,57809,69,"Mendès, Alexandra Liberal/Libéral",28818,7215,14075,1081,6071,0,14743,5,87,67,0.435064935064935,7,1.48,2.97297297297297,2.50331125827815,2.20666666666667,64.5099337748344,35.364238410596,58,31.0855263157895,62.9735099337748,59.5771812080537,154,0.0454545454545455,0.435064935064935,28818,"LIB",0,1,0,0,0,0
"50",24018,"Rimouski-Neigette--Témiscouata--Les Basques","QC",70182,220,44946,98.9,493,1.1,45439,64.7,"Caron, Guy NDP-New Democratic Party/NPD-Nouveau Parti démocratique",12594,3363,19374,669,8673,273,6780,6,55,44,0.444444444444444,10,1.55789473684211,3.29166666666667,2.58163265306122,2.27272727272727,46.78125,28.3368421052632,57.2765957446809,26.3578947368421,43.6947368421053,57.6947368421053,99,0.101010101010101,0.444444444444444,19374,"NDP",0,0,1,0,0,0
